"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,2.71,"2.71",,,"Whole supply chain",,"Physical Losses",,"Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,0.21,"0.21",,"Grading, Sorting","Farm",,,"5 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,1.78,"1.78",,"Harvesting","Harvest",,,"5 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,0.46,"0.46",,"Wholesale","Storage",,"Poor Storage And Cooling Infrastrures","5 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,0.01,"0.01",,"Storage","Storage",,"Poor Storage And Cooling Infrastrures","5 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"02211","Raw milk of cattle",2006,0.12,"0.12",,"Harvesting","Harvest",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"02211","Raw milk of cattle",2006,0.09,"0.09",,"Storage","Storage",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"02211","Raw milk of cattle",2006,0.49,"0.49",,"Collection","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"02211","Raw milk of cattle",2006,0.07,"0.07",,"Transportation","Transport",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"02211","Raw milk of cattle",2006,0.24,"0.24",,"Processing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
